,Timestamp,IdxDay,Year,Month,Day,Hour,IsHoliday,DayOfWeek,IsRegularDay,Temperature,Real,Predicted,Deviation
3973,1496926800,2344,2017,6,8,13,0.0,4,1.0,76.90057858209951,1443.3,1426.2157718998,1.1836921014480621
3974,1496930400,2344,2017,6,8,14,0.0,4,1.0,77.26,1461.0,1436.8947857441342,1.6499119956102533
3975,1496934000,2344,2017,6,8,15,0.0,4,1.0,76.90057858209951,1490.5,1464.09469943188,1.7715733356672314
3976,1496937600,2344,2017,6,8,16,0.0,4,1.0,75.83179570495918,1504.1,1486.0777629758916,1.198207368134322
3977,1496941200,2344,2017,6,8,17,0.0,4,1.0,74.08184538378117,1513.0,1500.6631308612248,0.8153912186897044
3978,1496944800,2344,2017,6,8,18,0.0,4,1.0,71.69689052687323,1506.9,1493.2383032588978,0.906609379594023
3979,1496948400,2344,2017,6,8,19,0.0,4,1.0,68.73984517873436,1497.0,1473.5644519023483,1.5655008749266328
3980,1496952000,2344,2017,6,8,20,0.0,4,1.0,65.3934242103647,1502.5,1475.473812355938,1.7987479297212658
3981,1496955600,2344,2017,6,8,21,0.0,4,1.0,63.26254256209872,1471.5,1441.9825576761264,2.005942393739289
3982,1496959200,2344,2017,6,8,22,0.0,4,1.0,61.90267517780226,1337.1,1324.0877309801122,0.9731709685055535
3983,1496962800,2344,2017,6,8,23,0.0,4,1.0,60.90180128804956,1212.7,1205.9216921799236,0.5589434996352277
3984,1496966400,2345,2017,6,9,0,0.0,5,0.1,61.13690272124647,1129.3,1133.3779569449248,0.3611048388315625
3985,1496970000,2345,2017,6,9,1,0.0,5,0.1,60.587515602531894,1079.3,1087.2865297400817,0.7399731066507717
3986,1496973600,2345,2017,6,9,2,0.0,5,0.1,60.118768542344036,1050.2,1062.23063733056,1.14555678257094
3987,1496977200,2345,2017,6,9,3,0.0,5,0.1,59.70999051902413,1034.7,1054.694902137143,1.932434728630796
3988,1496980800,2345,2017,6,9,4,0.0,5,0.1,59.347563158754895,1049.2,1074.4945904545868,2.4108454493506284
3989,1496984400,2345,2017,6,9,5,0.0,5,0.1,59.75459250796101,1103.0,1130.0953646506712,2.4565153808405413
3990,1496988000,2345,2017,6,9,6,0.0,5,0.1,62.56729570187133,1248.0,1262.2641252681976,1.1429587554645537
3991,1496991600,2345,2017,6,9,7,0.0,5,0.1,65.2555099847662,1352.5,1375.4064787810419,1.693639835936552
3992,1496995200,2345,2017,6,9,8,0.0,5,0.1,67.74844374770922,1393.7,1424.7324948276778,2.2266265930743874
3993,1496998800,2345,2017,6,9,9,0.0,5,0.1,69.98044791161705,1420.4,1447.7660539707408,1.9266441826767615
3994,1497002400,2345,2017,6,9,10,0.0,5,0.1,71.89274473435756,1445.0,1465.4375867616832,1.4143658658604275
3995,1497006000,2345,2017,6,9,11,0.0,5,0.1,73.43497566761596,1450.5,1473.6627336046458,1.5968792557494547
3996,1497009600,2345,2017,6,9,12,0.0,5,0.1,74.5665275021657,1444.5,1482.326131242335,2.6186314463367872
3997,1497013200,2345,2017,6,9,13,0.0,5,0.1,75.25760187874933,1440.6,1490.3396849181727,3.4527061584182133
3998,1497016800,2345,2017,6,9,14,0.0,5,0.1,75.49,1449.5,1495.2815163616756,3.1584350715195297
3999,1497020400,2345,2017,6,9,15,0.0,5,0.1,75.25760187874933,1472.8,1502.4165670705033,2.0109021639396643
4000,1497024000,2345,2017,6,9,16,0.0,5,0.1,74.5665275021657,1493.1,1511.3373406591986,1.221441340780839
4001,1497027600,2345,2017,6,9,17,0.0,5,0.1,73.43497566761596,1504.8,1515.2108195524352,0.6918407464404049
4002,1497031200,2345,2017,6,9,18,0.0,5,0.1,71.89274473435758,1494.1,1501.5022400929126,0.49543136958120176
4003,1497034800,2345,2017,6,9,19,0.0,5,0.1,69.98044791161705,1458.8,1485.6374025460145,1.839690330820851
4004,1497038400,2345,2017,6,9,20,0.0,5,0.1,66.95690342579628,1435.8,1486.855465169684,3.5558897596938372
4005,1497042000,2345,2017,6,9,21,0.0,5,0.1,63.89497107313613,1422.7,1465.4967407462486,3.0081352882721997
4006,1497045600,2345,2017,6,9,22,0.0,5,0.1,61.94441815920461,1327.8,1363.7708638315914,2.7090573754775935
4007,1497049200,2345,2017,6,9,23,0.0,5,0.1,60.50995209259672,1216.7,1258.0194357140933,3.3960249621182945
4008,1497052800,2346,2017,6,10,0,1.0,6,0.1,60.852292085787326,1134.1,1137.6848104147984,0.3160929737058936
4009,1497056400,2346,2017,6,10,1,1.0,6,0.1,60.06544487883389,1073.2,1083.506626119672,0.9603639694066387
4010,1497060000,2346,2017,6,10,2,1.0,6,0.1,59.394235039551795,1045.8,1054.3999973497819,0.8223367134998963
4011,1497063600,2346,2017,6,10,3,1.0,6,0.1,58.80898847697832,1039.2,1037.8307896372585,0.13175619348937345
4012,1497067200,2346,2017,6,10,4,1.0,6,0.1,58.29016515994679,1043.1,1036.6376688228515,0.6195313179127957
4013,1497070800,2346,2017,6,10,5,1.0,6,0.1,58.79221107794056,1040.2,1046.148022517182,0.5718152775602697
4014,1497074400,2346,2017,6,10,6,1.0,6,0.1,62.65753167910319,1079.8,1090.9601669667325,1.0335401895473704
4015,1497078000,2346,2017,6,10,7,1.0,6,0.1,66.35123205748825,1165.9,1178.0288216377728,1.0402969069193513
4016,1497081600,2346,2017,6,10,8,1.0,6,0.1,69.77619837083877,1267.6,1283.229649785435,1.2330111853451444
4017,1497085200,2346,2017,6,10,9,1.0,6,0.1,72.84238226541261,1320.2,1358.125894693525,2.8727385769977976
4018,1497088800,2346,2017,6,10,10,1.0,6,0.1,75.46916840467325,1329.2,1405.4202580678966,5.734295671674433
4019,1497092400,2346,2017,6,10,11,1.0,6,0.1,77.58749398746234,1365.6,1431.4224217725255,4.8200367437408875
4020,1497096000,2346,2017,6,10,12,1.0,6,0.1,79.14166452981473,1390.1,1443.6520748197847,3.8523901028548178
4021,1497099600,2346,2017,6,10,13,1.0,6,0.1,80.09081817033697,1410.1,1447.98368874432,2.6865958970512818
4022,1497103200,2346,2017,6,10,14,1.0,6,0.1,80.41,1450.4,1452.9787773720313,0.17779766768003682
4023,1497106800,2346,2017,6,10,15,1.0,6,0.1,80.09081817033697,1486.3,1465.7524895948811,1.3824604995706675
4024,1497110400,2346,2017,6,10,16,1.0,6,0.1,79.14166452981473,1524.3,1490.0725181319272,2.245455741525474
4025,1497114000,2346,2017,6,10,17,1.0,6,0.1,77.58749398746234,1567.6,1503.4199095481042,4.094162442708325
4026,1497117600,2346,2017,6,10,18,1.0,6,0.1,75.46916840467325,1582.3,1502.8430538734297,5.021610701293706
4027,1497121200,2346,2017,6,10,19,1.0,6,0.1,72.8423822654126,1570.6,1487.118988208902,5.315230599203993
4028,1497124800,2346,2017,6,10,20,1.0,6,0.1,70.42107397919001,1565.0,1501.90585400947,4.03157482367604
4029,1497128400,2346,2017,6,10,21,1.0,6,0.1,69.63840869750145,1547.4,1480.6879394048267,4.311235659504549
4030,1497132000,2346,2017,6,10,22,1.0,6,0.1,69.14066071587311,1443.5,1395.470678335222,3.327282415294637
4031,1497135600,2346,2017,6,10,23,1.0,6,0.1,68.77488598382403,1326.0,1304.083978024667,1.6527920041729278
4032,1497139200,2347,2017,6,11,0,1.0,0,0.1,68.85967388306639,1246.4,1240.0476685311994,0.5096543219512745
4033,1497142800,2347,2017,6,11,1,1.0,0,0.1,68.65979398437081,1191.4,1193.7704009751644,0.1989592895051477
4034,1497146400,2347,2017,6,11,2,1.0,0,0.1,68.48932285415583,1151.3,1158.9765807552824,0.6667750156590315
4035,1497150000,2347,2017,6,11,3,1.0,0,0.1,68.34070621233361,1135.4,1145.3071812917315,0.8725718946390149
4036,1497153600,2347,2017,6,11,4,1.0,0,0.1,68.2089719631125,1138.9,1142.2341312846418,0.29275013474771017
4037,1497157200,2347,2017,6,11,5,1.0,0,0.1,70.0307167862691,1127.3,1143.0902730443345,1.4007161398327443
4038,1497160800,2347,2017,6,11,6,1.0,0,0.1,73.43592323529295,1158.1,1172.7232594854008,1.2626940234350161
4039,1497164400,2347,2017,6,11,7,1.0,0,0.1,76.68949654260518,1230.7,1251.938978663125,1.7257640906089993
4040,1497168000,2347,2017,6,11,8,1.0,0,0.1,79.70602187108301,1350.5,1363.9926642093144,0.9990865760321658
4041,1497171600,2347,2017,6,11,9,1.0,0,0.1,82.40630751509319,1440.9,1456.3417310357852,1.0716726376421053
4042,1497175200,2347,2017,6,11,10,1.0,0,0.1,84.71946389057436,1526.6,1536.1332371914298,0.624475120622944
4043,1497178800,2347,2017,6,11,11,1.0,0,0.1,86.58476457264246,1587.0,1603.2811845096705,1.0259095469231594
4044,1497182400,2347,2017,6,11,12,1.0,0,0.1,87.95324052359794,1635.9,1656.358316909697,1.2505848101776884
4045,1497186000,2347,2017,6,11,13,1.0,0,0.1,88.78896565866668,1681.4,1697.6520636707623,0.9665792595909513
4046,1497189600,2347,2017,6,11,14,1.0,0,0.1,89.07,1732.0,1733.5030109612417,0.08677892385921887
4047,1497193200,2347,2017,6,11,15,1.0,0,0.1,88.78896565866668,1782.4,1788.2652607016971,0.32906534457456377
4048,1497196800,2347,2017,6,11,16,1.0,0,0.1,87.95324052359794,1851.2,1842.624237028111,0.46325426598362873
4049,1497200400,2347,2017,6,11,17,1.0,0,0.1,86.58476457264246,1902.6,1875.423452729864,1.4283899542802414
4050,1497204000,2347,2017,6,11,18,1.0,0,0.1,84.71946389057436,1924.3,1868.9965713804897,2.87395045572469
4051,1497207600,2347,2017,6,11,19,1.0,0,0.1,82.40630751509319,1907.4,1842.5993063221918,3.397331114491367
4052,1497211200,2347,2017,6,11,20,1.0,0,0.1,78.97858733921196,1865.0,1827.1764965571624,2.028069889696386
4053,1497214800,2347,2017,6,11,21,1.0,0,0.1,75.64678379914169,1814.4,1796.4637914438165,0.988547649701477
4054,1497218400,2347,2017,6,11,22,1.0,0,0.1,73.53118954683731,1667.3,1667.8506025067961,0.03302360143922314
4055,1497222000,2347,2017,6,11,23,1.0,0,0.1,71.97761964657433,1521.1,1526.9217521778746,0.3827330338488406
4056,1497225600,2348,2017,6,12,0,0.0,1,0.1,72.35140796480854,1396.5,1410.7767327485685,1.0223224309751893
4057,1497229200,2348,2017,6,12,1,0.0,1,0.1,71.50150895235848,1329.8,1336.3289740667992,0.4909741364715946
4058,1497232800,2348,2017,6,12,2,0.0,1,0.1,70.7767910678428,1288.4,1296.671238261641,0.6419775117697123
4059,1497236400,2348,2017,6,12,3,0.0,1,0.1,70.14506879340952,1274.6,1277.6321289326843,0.23788866567428002
4060,1497240000,2348,2017,6,12,4,0.0,1,0.1,69.58516730400258,1288.9,1290.4464969708324,0.11998579958354583
4061,1497243600,2348,2017,6,12,5,0.0,1,0.1,69.83083209568947,1336.7,1342.6094245300399,0.4420905610862433
4062,1497247200,2348,2017,6,12,6,0.0,1,0.1,73.50163806211269,1467.9,1463.0271726927415,0.3319590780883305
4063,1497250800,2348,2017,6,12,7,0.0,1,0.1,77.008546657443,1617.7,1612.3981837762813,0.327737913316362
4064,1497254400,2348,2017,6,12,8,0.0,1,0.1,80.2596182822143,1705.2,1718.422953989233,0.7754488616721217
4065,1497258000,2348,2017,6,12,9,0.0,1,0.1,83.16962054017444,1794.2,1813.0479220491943,1.0504916982050088
4066,1497261600,2348,2017,6,12,10,0.0,1,0.1,85.66226275115042,1875.3,1912.8254333919408,2.0010362817650966
4067,1497265200,2348,2017,6,12,11,0.0,1,0.1,87.67219604155181,1948.3,1996.3391529741348,2.465695887395926
4068,1497268800,2348,2017,6,12,12,0.0,1,0.1,89.14672657672347,2009.5,2057.9098837526703,2.409051194459833
